ID;Nom;Description;Prix;Stock;Catégorie;Marque;Unité;Poids;Images;Actif
9480889729320;Mwamba groundnut peanut paste 400g;Produit importé automatiquement. Catégorie: Breakfast;7150.00;10;Breakfast;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM011632_Front_32a5b4f9-f2b6-400a-863a-cb0a0388eb40.jpg?v=1747257026;Oui
9385547858216;Maccoffee classic 100% pure soluble coffee 100g;Produit importé automatiquement. Catégorie: Breakfast;5300.00;10;Breakfast;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM005589_front_e51eecfc-4157-4cdd-ad77-1192e613ea6a.jpg?v=1753997383;Oui
9385586983208;Dairy milk whole nut chocolate 80g;Produit importé automatiquement. Catégorie: Sweet groceries;3900.00;10;Sweet groceries;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM007806_front_6d34fc38-cec7-4019-bcfa-9091f18fa9bf.jpg?v=1750024239;Oui
10135986110760;Heineken Beer 5% 500ml;Produit importé automatiquement. Catégorie: Beers;6200.00;10;Beers;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM043883_front_0db44a6a-bf9c-4deb-bd55-358916910ae8.png?v=1759268825;Oui
9385561391400;Everyday cut macaroni 500g;Produit importé automatiquement. Catégorie: Pasta, rice, noodles;3700.00;10;Pasta, rice, noodles;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM005500_front_b57dedcc-f1c1-42bf-87bd-240babb20f42.jpg?v=1757970390;Oui
9719926685992;Monganga Mutuzo liquid hand soap 500ml;Produit importé automatiquement. Catégorie: Hygiene, beauty;3300.00;10;Hygiene, beauty;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM036573_front_2f2d1d91-c599-4a1e-ba2b-5c62e65432ad.png?v=1753354253;Oui
9426153472296;Imported carrots 4pcs;Produit importé automatiquement. Catégorie: Fruits & vegetables;4850.00;10;Fruits & vegetables;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM003097_front_a66ff2e8-27a3-4e37-9ed1-ed0dee7b33b2.jpg?v=1752546487;Oui
9507126018344;Lebanese chapati 10 pieces;Produit importé automatiquement. Catégorie: Bakery;5800.00;10;Bakery;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/SAVE-20241202_211030.jpg?v=1756676879;Oui
9429402616104;Raisin bread 1 piece;Produit importé automatiquement. Catégorie: Bakery;3150.00;10;Bakery;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM011602_b7850b56-84ea-48ad-ab6d-c497a4e2fb93.jpg?v=1756676886;Oui
9385600188712;Plain bread 1pc;Produit importé automatiquement. Catégorie: Bakery;2950.00;10;Bakery;Shoppi;pièce;0;https://cdn.shopify.com/s/files/1/0774/9468/1896/files/ITM011618_front_a8dce916-20fc-4d7d-b77c-91d0b29ed863.jpg?v=1756676887;Oui
